Test_Number,Unix_Start_Time,Local_Start_Time,UTC_Start_Time,Characters,Seconds,CPS,WPM,Mistake_Free_Test,Backspaces as % of Verse Length,Incorrect Characters as % of Verse Length,Book,Chapter,Verse #,Verse,Verse_Order,Autostart,% of Words Typed Correctly,Extra Keystrokes %,Test Version,Location,Keyboard,Layout,Caffeine,Custom_1,Custom_2,Custom_3,WPM_Rank,WPM_Percentile,Last 10 Avg,Last 100 Avg,Last 1000 Avg,Incorrect Character % Last 10 Avg,Incorrect Character % Last 100 Avg,Incorrect Character % Last 1000 Avg,Extra Keystrokes % Last 10 Avg,Extra Keystrokes % Last 100 Avg,Extra Keystrokes % Last 1000 Avg,Local_Start_Year,Local_Start_Month,Local_Start_Date,Local_Start_Hour,Local_Start_Minute,Local_Start_10_Minute_Block,Local_Start_15_Minute_Block,Local_Start_30_Minute_Block,Count,Local_End_Time,Local_End_Year,Local_End_Month,Local_End_Date,Local_End_Hour,Local_End_Minute,Local_End_15_Minute_Block,Local_End_10_Minute_Block,Local_End_30_Minute_Block,cumulative_avg,Session,Test_#_Within_Session
11,1718328639.859745,,2024-06-14 01:30:39.859760+00:00,161,34.19665583,4.708062706079988,56.496752472959855,0,1.8633540372670807,1.8633540372670807,GEN,1,11,"God said, ""Let the earth yield grass, herbs yielding seeds, and fruit trees bearing fruit after their kind, with their seeds in it, on the earth;"" and it was so.",11,1,93.33333333333331,3.7267080745341614,v2,,mac,qwerty,yes,,,,4156,22.26379794200187,44.680927533148015,,,7.6713425761790095,,,16.42111652490704,,,,,,,,,,,1,,,,,,,,,,43.951,7,5
12,1718328674.074926,,2024-06-14 01:31:14.074955+00:00,159,32.84751154,4.840549330401998,58.08659196482398,0,1.8867924528301887,1.8867924528301887,GEN,1,12,"The earth yielded grass, herbs yielding seed after their kind, and trees bearing fruit, with their seeds in it, after their kind; and God saw that it was good.",12,1,89.65517241379311,3.7735849056603774,v2,,mac,qwerty,yes,,,,3967,25.799812909260993,46.27569553448667,,,7.045207006647212,,,15.168845385843444,,,,,,,,,,,1,,,,,,,,,,45.129,7,6
13,1718328706.928496,,2024-06-14 01:31:46.928509+00:00,53,8.258765917,6.417423684439802,77.00908421327762,1,0.0,0.0,GEN,1,13,"There was evening and there was morning, a third day.",13,1,100.0,0.0,v2,,mac,qwerty,yes,,,,548,89.76613657623948,50.34923487171973,,,6.468283929724135,,,14.014999231997288,,,,,,,,,,,1,,,,,,,,,,47.581,7,7
14,1718328715.201345,,2024-06-14 01:31:55.201365+00:00,150,31.86950267,4.706694094580927,56.48032913497112,0,6.666666666666667,6.666666666666667,GEN,1,14,"God said, ""Let there be lights in the expanse of the sky to divide the day from the night; and let them be for signs to mark seasons, days, and years;",14,1,90.32258064516128,13.333333333333334,v2,,mac,qwerty,yes,,,,4159,22.207670720299344,51.331779280182936,,,6.664362361096684,,,14.407156094742387,,,,,,,,,,,1,,,,,,,,,,48.217,7,8
15,1718328747.077225,,2024-06-14 01:32:27.077239+00:00,96,16.97213704,5.656329534,67.87595440392744,0,2.083333333333333,2.083333333333333,GEN,1,15,"and let them be for lights in the expanse of the sky to give light on the earth;"" and it was so.",15,1,95.45454545454544,4.166666666666666,v2,,mac,qwerty,yes,,,,2101,60.71094480823199,55.0340697211037,,,3.7634519969510256,,,7.764999231997289,,,,,,,,,,,1,,,,,,,,,,49.528,7,9
16,1718328764.062476,,2024-06-14 01:32:44.062503+00:00,129,24.98851913,5.162370741327393,61.94844889592872,0,3.100775194,3.100775194,GEN,1,16,"God made the two great lights: the greater light to rule the day, and the lesser light to rule the night. He also made the stars.",16,1,92.30769231,6.201550388,v2,,mac,qwerty,yes,,,,3301,38.2600561272217,56.366351100367766,,,3.7098931527146624,,,7.657881543524563,,,,,,,,,,,1,,,,,,,,,,50.304,7,10
17,1718328789.074189,,2024-06-14 01:33:09.074222+00:00,66,13.82403071,4.774294950155575,57.2915394,0,12.12121212121212,12.12121212121212,GEN,1,17,"God set them in the expanse of the sky to give light to the earth,",17,1,86.66666666666667,24.24242424242424,v2,,mac,qwerty,yes,,,,4056,24.134705332086064,57.369914309659556,,,4.474253170806024,,,9.186601579707284,,,,,,,,,,,1,,,,,,,,,,50.715,7,11
18,1718328802.914579,,2024-06-14 01:33:22.914606+00:00,113,18.52789492,6.098911965239963,73.18694358287955,0,2.6548672566371683,2.6548672566371683,GEN,1,18,"and to rule over the day and over the night, and to divide the light from the darkness. God saw that it was good.",18,1,95.83333333333334,5.3097345132743365,v2,,mac,qwerty,yes,,,,1066,80.07483629560338,60.37676107824694,,,4.144501801231645,,,8.28900360246329,,,,,,,,,,,1,,,,,,,,,,51.963,7,12
19,1718328821.0,,2024-06-14 01:33:41.448285+00:00,54,8.470807208,6.374835204489286,76.49802245387143,0,1.851851851851852,1.851851851851852,GEN,1,19,"There was evening and there was morning, a fourth day.",19,1,90.0,3.7037037037037033,v2,,mac,qwerty,yes,,,,608,88.64359214218896,63.37578728339495,,,4.077586146080695,,,8.15517229216139,,,,,,,,,,,1,,,,,,,,,,53.255,7,13
20,1718328829.934994,,2024-06-14 01:33:49.935024+00:00,122,27.22653279,4.480923110262772,53.771077323153264,0,8.196721311,7.377049180327869,GEN,1,20,"God said, ""Let the waters abound with living creatures, and let birds fly above the earth in the open expanse of the sky.""",20,1,91.30434782608695,16.39344262295082,v2,,mac,qwerty,yes,,,,4457,16.632366697848454,63.864474384579296,,,3.960590209412628,,,8.085114845054765,,,,,,,,,,,1,,,,,,,,,,53.28,7,14
21,1718328857.271641,,2024-06-14 01:34:17.271659+00:00,186,33.03487367,5.630413540397572,67.56496248477086,0,1.075268817204301,1.075268817204301,GEN,1,21,"God created the large sea creatures and every living creature that moves, with which the waters swarmed, after their kind, and every winged bird after its kind. God saw that it was good.",21,1,96.96969696969695,2.1505376344086025,v2,,mac,qwerty,yes,,,,2168,59.45743685687559,64.97129538576038,,,3.8817816874063498,,,7.9274978010422075,,,,,,,,,,,1,,,,,,,,,,53.961,7,15
22,1718328890.323624,,2024-06-14 01:34:50.323656+00:00,124,22.13780963,5.601276824603644,67.21532189524373,0,1.6129032258064515,0.8064516129032258,GEN,1,22,"God blessed them, saying, ""Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth.""",22,1,95.45454545454544,3.225806451612903,v2,,mac,qwerty,yes,,,,2236,58.18521983161834,65.88416837880237,,,3.7737476034136535,,,7.87271995563746,,,,,,,,,,,1,,,,,,,,,,54.563,7,16
23,1718328912.479216,,2024-06-14 01:35:12.479249+00:00,53,11.04538638,4.798383524179796,57.58060229015755,0,11.320754716981131,9.433962264150944,GEN,1,23,"There was evening and there was morning, a fifth day.",23,1,90.0,22.641509433962263,v2,,mac,qwerty,yes,,,,4034,24.54630495790458,63.94132018649037,,,4.717143829828748,,,10.136870899033685,,,,,,,,,,,1,,,,,,,,,,54.694,7,17
24,1718328923.5363672,,2024-06-14 01:35:23.536387+00:00,154,28.20187138,5.460630536,65.52756643,0,0.6493506493506493,0.6493506493506493,GEN,1,24,"God said, ""Let the earth produce living creatures after their kind, livestock, creeping things, and animals of the earth after their kind;"" and it was so.",24,1,96.15384615384616,1.2987012987012987,v2,,mac,qwerty,yes,,,,2571,51.91768007483629,64.84604391599325,,,4.115412228097146,,,8.933407695570484,,,,,,,,,,,1,,,,,,,,,,55.146,7,18
25,1718328951.7549682,,2024-06-14 01:35:51.755266+00:00,170,26.07151763,6.520525672697583,78.24630807,0,1.1764705882352942,1.1764705882352942,GEN,1,25,"God made the animals of the earth after their kind, and the livestock after their kind, and everything that creeps on the ground after its kind. God saw that it was good.",25,1,100.0,2.3529411764705883,v2,,mac,qwerty,yes,,,,440,91.7867165575304,65.8830792826005,,,4.024725953587342,,,8.752035146550874,,,,,,,,,,,1,,,,,,,,,,56.07,7,19
26,1718328977.840859,,2024-06-14 01:36:17.840890+00:00,244,43.11879263,5.658785535162002,67.90542642194401,0,0.819672131,0.819672131,GEN,1,26,"God said, ""Let's make man in our image, after our likeness. Let them have dominion over the fish of the sea, and over the birds of the sky, and over the livestock, and over all the earth, and over every creeping thing that creeps on the earth.""",26,1,97.87234042553192,1.639344262295082,v2,,mac,qwerty,yes,,,,2097,60.785781103835355,66.47877703520204,,,3.7966156472873416,,,8.295814533980382,,,,,,,,,,,1,,,,,,,,,,56.525,7,20
27,1718329020.9774988,,2024-06-14 01:37:00.977532+00:00,97,16.20305988,5.986523579392747,71.83828295271297,1,0.0,0.0,GEN,1,27,God created man in his own image. In God's image he created him; male and female he created them.,27,1,100.0,0.0,v2,,mac,qwerty,yes,,,,1285,75.977549111319,67.93345139047332,,,2.58449443516613,,,5.871572109737959,,,,,,,,,,,1,,,,,,,,,,57.092,7,21
28,1718329037.192222,,2024-06-14 01:37:17.192239+00:00,211,49.08987583,4.298238617,51.5788634,0,14.691943127962086,14.218009478672986,GEN,1,28,"God blessed them. God said to them, ""Be fruitful, multiply, fill the earth, and subdue it. Have dominion over the fish of the sea, over the birds of the sky, and over every living thing that moves on the earth.""",28,1,95.0,29.383886255924168,v2,,mac,qwerty,yes,,,,4659,12.853133769878392,65.77264337218539,,,3.740808657369712,,,8.278987284002941,,,,,,,,,,,1,,,,,,,,,,56.895,7,22
29,1718329086.304341,,2024-06-14 01:38:06.304382+00:00,174,31.68791775,5.491051869,65.89262243335632,0,0.5747126436781609,0.0,GEN,1,29,"God said, ""Behold, I have given you every herb yielding seed, which is on the surface of all the earth, and every tree, which bears fruit yielding seed. It will be your food.",29,1,96.96969696969695,1.1494252873563218,v2,,mac,qwerty,yes,,,,2501,53.22731524789523,64.71210337013386,,,3.5556234721845272,,,8.023559442368205,,,,,,,,,,,1,,,,,,,,,,57.205,7,23
30,1718329118.0,,2024-06-14 01:38:38.009958+00:00,183,31.15430858,5.873986884108152,70.48784260929781,1,0.0,0.0,GEN,1,30,"To every animal of the earth, and to every bird of the sky, and to everything that creeps on the earth, in which there is life, I have given every green herb for food;"" and it was so.",30,1,100.0,0.0,v2,,mac,qwerty,yes,,,,1560,70.83255378858746,66.38377989874832,,,2.8179185541517398,,,6.384215180073122,,,,,,,,,,,1,,,,,,,,,,57.648,7,24
31,1718329149.305022,,2024-06-14 01:39:09.305094+00:00,121,23.65746625,5.114664382116576,61.37597258539891,0,7.438016529,7.438016529,GEN,1,31,"God saw everything that he had made, and, behold, it was very good. There was evening and there was morning, a sixth day.",31,1,91.30434782608695,14.87603305785124,v2,,mac,qwerty,yes,,,,3416,36.10851262862489,65.76488090881114,,,3.4541933253313095,,,7.656764722417387,,,,,,,,,,,1,,,,,,,,,,57.768,7,25
32,1718329172.976083,,2024-06-14 01:39:32.976101+00:00,63,11.29483458,5.577770930335014,66.93325116402016,0,4.761904761904762,4.761904761904762,GEN,2,1,"The heavens, the earth, and all their vast array were finished.",32,1,81.81818181818183,9.523809523809524,v2,,mac,qwerty,yes,,,,2289,57.19363891487371,65.73667383568878,,,3.8497386402314637,,,8.286565029637048,,,,,,,,,,,1,,,,,,,,,,58.055,7,26
33,1718329184.288136,,2024-06-14 01:39:44.288168+00:00,129,22.42440029,5.752662203937465,69.03194644724958,0,2.3255813953488373,1.550387596899225,GEN,2,2,On the seventh day God finished his work which he had done; and he rested on the seventh day from all his work which he had done.,33,1,92.59259259,4.651162790697675,v2,,mac,qwerty,yes,,,,1864,65.14499532273152,66.88180825139798,,,3.061381173506292,,,6.48753036531059,,,,,,,,,,,1,,,,,,,,,,58.388,7,27
34,1718329207.0,,2024-06-14 01:40:06.729314+00:00,119,20.20492004,5.889654586736028,70.67585504083233,0,1.680672268907563,0.0,GEN,2,3,"God blessed the seventh day, and made it holy, because he rested in it from all his work of creation which he had done.",34,1,95.83333333333334,3.361344537815126,v2,,mac,qwerty,yes,,,,1523,71.52478952291862,67.39663711248122,,,2.9964461085712264,,,6.693794689221972,,,,,,,,,,,1,,,,,,,,,,58.749,7,28
35,1718329226.952014,,2024-06-14 01:40:26.952054+00:00,153,28.85615229,5.302162203,63.625946433232805,0,2.6143790849673203,2.6143790849673203,GEN,2,4,"This is the history of the generations of the heavens and of the earth when they were created, in the day that Yahweh God made the earth and the heavens.",35,1,93.33333333333331,5.228758169934641,v2,,mac,qwerty,yes,,,,2980,44.26566884939195,65.93460094880449,,,3.1402369582444294,,,6.981376388568377,,,,,,,,,,,1,,,,,,,,,,58.888,7,29
36,1718329255.8258078,,2024-06-14 01:40:55.825844+00:00,182,36.05045467,5.048480017274231,60.58176020729077,0,1.6483516483516485,1.6483516483516485,GEN,2,5,"No plant of the field was yet in the earth, and no herb of the field had yet sprung up; for Yahweh God had not caused it to rain on the earth. There was not a man to till the ground,",36,1,97.56097561,3.296703296703297,v2,,mac,qwerty,yes,,,,3548,33.63891487371375,65.20223432733917,,,3.223104909979594,,,7.147112292009199,,,,,,,,,,,1,,,,,,,,,,58.935,7,30
37,1718329291.894384,,2024-06-14 01:41:31.894413+00:00,79,13.63312942,5.794707699428861,69.53649239314633,0,5.063291139240507,2.5316455696202533,GEN,2,6,"but a mist went up from the earth, and watered the whole surface of the ground.",37,1,93.75,10.126582278481012,v2,,mac,qwerty,yes,,,,1758,67.12815715622077,64.97205527138252,,,3.476269466941619,,,8.1597705198573,,,,,,,,,,,1,,,,,,,,,,59.222,7,31
38,1718329306.0,,2024-06-14 01:41:45.533034+00:00,131,27.54820675,4.755300452,57.063605419615925,0,6.106870229007634,6.106870229007634,GEN,2,7,"Yahweh God formed man from the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.",38,1,88.0,12.213740458015266,v2,,mac,qwerty,yes,,,,4095,23.405051449953227,65.5205294733441,,,2.6651555419750843,,,6.44275594006641,,,,,,,,,,,1,,,,,,,,,,59.165,7,32
39,1718329333.099253,,2024-06-14 01:42:13.099280+00:00,91,21.39328942,4.253670308769236,51.04404370523083,0,8.791208791208792,8.791208791208792,GEN,2,8,"Yahweh God planted a garden eastward, in Eden, and there he put the man whom he had formed.",39,1,88.88888888888889,17.582417582417584,v2,,mac,qwerty,yes,,,,4691,12.25444340505145,64.03567160053154,,,3.544276421095964,,,8.086055169572536,,,,,,,,,,,1,,,,,,,,,,58.957,7,33
40,1718329354.5103528,,2024-06-14 01:42:34.510391+00:00,205,40.18349738,5.101596759657359,61.21916111588831,0,6.341463414634147,6.341463414634147,GEN,2,9,"Out of the ground Yahweh God made every tree to grow that is pleasant to the sight, and good for food, including the tree of life in the middle of the garden and the tree of the knowledge of good and evil.",40,1,92.85714285714286,12.682926829268292,v2,,mac,qwerty,yes,,,,3441,35.64078578110384,63.1088034511906,,,4.178422762559378,,,9.354347852499366,,,,,,,,,,,1,,,,,,,,,,59.013,7,34
41,1718329395.0,,2024-06-14 01:43:14.837218+00:00,113,18.74331663,6.028815617897615,72.34578741477138,1,0.0,0.0,GEN,2,10,"A river went out of Eden to water the garden; and from there it was parted, and became the source of four rivers.",41,1,100.0,0.0,v2,,mac,qwerty,yes,,,,1207,77.43685687558465,64.20578493412785,,,3.4346211096593775,,,7.866744546714242,,,,,,,,,,,1,,,,,,,,,,59.339,7,35
42,1718329413.5979352,,2024-06-14 01:43:33.597967+00:00,97,17.21151321,5.635762458986692,67.62914950784031,0,2.061855670103093,0.0,GEN,2,11,"The name of the first is Pishon: it flows through the whole land of Havilah, where there is gold;",42,1,100.0,4.123711340206185,v2,,mac,qwerty,yes,,,,2151,59.775491113189894,64.27537476850986,,,2.9584306334689017,,,7.326734728353908,,,,,,,,,,,1,,,,,,,,,,59.536,7,36
43,1718329431.0,,2024-06-14 01:43:50.831605+00:00,74,14.57888154,5.075835192973532,60.91002231568238,1,0.0,0.0,GEN,2,12,and the gold of that land is good. Bdellium and onyx stone are also there.,43,1,100.0,0.0,v2,,mac,qwerty,yes,,,,3491,34.70533208606174,63.46318235535314,,,2.803391873778979,,,6.86161844928414,,,,,,,,,,,1,,,,,,,,,,59.568,7,37
44,1718329445.4257028,,2024-06-14 01:44:05.425736+00:00,102,19.18974867,5.315337984358605,63.78405581230326,0,9.803921568627452,9.803921568627452,GEN,2,13,The name of the second river is Gihon. It is the same river that flows through the whole land of Cush.,44,1,90.47619047619048,19.607843137254903,v2,,mac,qwerty,yes,,,,2949,44.84565014031806,62.77400243250023,,,3.783784030641724,,,8.48626830922812,,,,,,,,,,,1,,,,,,,,,,59.664,7,38
45,1718329464.622046,,2024-06-14 01:44:24.622058+00:00,124,24.14027371,5.136644327,61.639731924217685,0,4.032258064516129,4.032258064516129,GEN,2,14,The name of the third river is Hiddekel. This is the one which flows in front of Assyria. The fourth river is the Euphrates.,45,1,87.5,8.064516129032258,v2,,mac,qwerty,yes,,,,3371,36.95042095416277,62.57538098159872,,,3.925571928596605,,,8.76984410513788,,,,,,,,,,,1,,,,,,,,,,59.708,7,39
46,1718329488.779903,,2024-06-14 01:44:48.779942+00:00,86,17.51605588,4.909781095340335,58.91737314408401,0,3.488372093023256,2.3255813953488373,GEN,2,15,"Yahweh God took the man, and put him into the garden of Eden to cultivate and keep it.",46,1,94.44444444444444,6.976744186046512,v2,,mac,qwerty,yes,,,,3825,28.456501403180546,62.40894227527804,,,3.9932949032963245,,,9.137848194072202,,,,,,,,,,,1,,,,,,,,,,59.69,7,40
47,1718329506.316076,,2024-06-14 01:45:06.316130+00:00,86,17.94713642,4.791850800138708,57.5022096016645,1,0.0,0.0,GEN,2,16,"Yahweh God commanded the man, saying, ""You may freely eat of every tree of the garden;",47,1,100.0,0.0,v2,,mac,qwerty,yes,,,,4039,24.452759588400376,61.20551399612985,,,3.740130346334299,,,8.1251899662241,,,,,,,,,,,1,,,,,,,,,,59.644,7,41
48,1718329524.277727,,2024-06-14 01:45:24.277749+00:00,125,21.90749371,5.705810151818212,68.46972182181854,0,1.6,0.8,GEN,2,17,"but you shall not eat of the tree of the knowledge of good and evil; for in the day that you eat of it, you will surely die.""",48,1,96.42857142857144,3.2,v2,,mac,qwerty,yes,,,,1987,62.843779232927965,62.34612563635012,,,3.2094433234335353,,,7.223815920422574,,,,,,,,,,,1,,,,,,,,,,59.828,7,42
49,1718329546.2015822,,2024-06-14 01:45:46.201615+00:00,102,19.36329863,5.267697512463479,63.21237014956175,0,0.9803921568627452,0.9803921568627452,GEN,2,18,"Yahweh God said, ""It is not good for the man to be alone. I will make him a helper comparable to him.""",49,1,95.45454545454544,1.960784314,v2,,mac,qwerty,yes,,,,3050,42.95603367633302,63.56295828078322,,,2.428361659998931,,,5.661652593580816,,,,,,,,,,,1,,,,,,,,,,59.897,7,43
50,1718329565.5866811,,2024-06-14 01:46:05.586744+00:00,212,34.84866817,6.083446259413643,73.00135511296372,1,0.0,0.0,GEN,2,19,"Out of the ground Yahweh God formed every animal of the field, and every bird of the sky, and brought them to the man to see what he would call them. Whatever the man called every living creature became its name.",50,1,100.0,0.0,v2,,mac,qwerty,yes,,,,1090,79.62581852198316,64.74117768049075,,,1.794215318535516,,,4.393359910653986,,,,,,,,,,,1,,,,,,,,,,60.159,7,44
51,1718329600.576757,,2024-06-14 01:46:40.576775+00:00,159,27.59172879,5.7625965084906445,69.15115810188773,0,1.8867924528301887,1.8867924528301887,GEN,2,20,"The man gave names to all livestock, and to the birds of the sky, and to every animal of the field; but for man there was not found a helper comparable to him.",51,1,93.93939393939394,3.7735849056603774,v2,,mac,qwerty,yes,,,,1828,65.81852198316184,64.42171474920238,,,1.982894563818535,,,4.770718401220024,,,,,,,,,,,1,,,,,,,,,,60.335,7,45
52,1718329628.188191,,2024-06-14 01:47:08.188222+00:00,133,21.97112458,6.053399747086884,72.64079697,1,0.0,0.0,GEN,2,21,"Yahweh God caused the man to fall into a deep sleep. As the man slept, he took one of his ribs, and closed up the flesh in its place.",52,1,100.0,0.0,v2,,mac,qwerty,yes,,,,1168,78.16651075771749,64.92287949541836,,,1.9828945638185353,,,4.358347267199405,,,,,,,,,,,1,,,,,,,,,,60.572,7,46
53,1718329650.1728058,,2024-06-14 01:47:30.172831+00:00,97,24.12668008,4.020445401783546,48.24534482140255,0,17.52577319587629,16.49484536082474,GEN,2,22,"Yahweh God made a woman from the rib which he had taken from the man, and brought her to the man.",53,1,85.71428571428571,35.051546391752574,v2,,mac,qwerty,yes,,,,4870,8.905519176800748,63.656411745990376,,,3.6323790999010095,,,7.863501906374663,,,,,,,,,,,1,,,,,,,,,,60.339,7,47
54,1718329674.316234,,2024-06-14 01:47:54.316259+00:00,130,26.92705521,4.827858041,57.93429648699912,0,3.8461538461538463,3.8461538461538463,GEN,2,23,"The man said, ""This is now bone of my bones, and flesh of my flesh. She will be called 'woman,' because she was taken out of Man.""",54,1,92.59259259,7.6923076923076925,v2,,mac,qwerty,yes,,,,3986,25.444340505144996,63.071435813459956,,,3.036602327653649,,,6.671948361879942,,,,,,,,,,,1,,,,,,,,,,60.295,7,48
55,1718329701.258027,,2024-06-14 01:48:21.258063+00:00,110,16.75351229,6.565787405219281,78.78944886263136,1,0.0,0.0,GEN,2,24,"Therefore a man will leave his father and his mother, and will join with his wife, and they will be one flesh.",55,1,100.0,0.0,v2,,mac,qwerty,yes,,,,395,92.62862488306828,64.78640750730133,,,2.6333765212020355,,,5.865496748976716,,,,,,,,,,,1,,,,,,,,,,60.631,7,49
